timestamp,header.stamp.sec,header.stamp.nanosec,header.frame_id,pose.position.x,pose.position.y,pose.position.z,pose.orientation.x,pose.orientation.y,pose.orientation.z,pose.orientation.w
1742664818285639672,1742664818,284576176,odom,1.2272294605330718,0.003957550277202183,0.0,0.0,0.0,0.00176861249550924,0.9999996090012556
1742664818335636402,1742664818,334528238,odom,1.2350689054195938,0.003971415231842825,0.0,0.0,0.0,0.001645220926055106,0.9999996616560322
1742664818386265807,1742664818,385124550,odom,1.2429083519572546,0.003984312864972175,0.0,0.0,0.0,0.0016040904029037304,0.9999996783617646
1742664818435604453,1742664818,434536216,odom,1.2507375780969172,0.003996871662256678,0.0,0.0,0.0,0.001521829356600974,0.9999997105044401
1742664818485526867,1742664818,484483889,odom,1.25856680524319,0.004008786419165427,0.0,0.0,0.0,0.0014395683102982181,0.9999997409553962
1742664818535612691,1742664818,534576898,odom,1.2663960333430935,0.004020057135617794,0.0,0.0,0.0,0.0013573072639954623,0.9999997697146328
1742664818585471641,1742664818,584445793,odom,1.2742354832692364,0.004030697684482578,0.0,0.0,0.0,0.0012339156945413278,0.9999998096815134
1742664818635885543,1742664818,634616599,odom,1.2820647135214314,0.004040358299469856,0.0,0.0,0.0,0.001151654648238574,0.999999834211451
1742664818685673881,1742664818,684508494,odom,1.2898837236136038,0.00404936310276818,0.0,0.0,0.0,0.0010282630787844392,0.999999867834383
1742664818735750778,1742664818,734515205,odom,1.2977231766165684,0.004057424125690034,0.0,0.0,0.0,0.0009048715093303055,0.9999998976509457
1742664818775810422,1742664818,774442236,odom,1.305552409623697,0.004064508577511659,0.0,0.0,0.0,0.0007403494167247925,0.9999999314853434
1742664818825944802,1742664818,824838916,odom,1.3133918646226173,0.004070312514507963,0.0,0.0,0.0,0.0006169578472706587,0.9999999524203772
1742664818875644379,1742664818,874478288,odom,1.321210878411899,0.004075136517035242,0.0,0.0,0.0,0.0004935662778165254,0.9999999695490414
1742664818925991225,1742664818,924733022,odom,1.329040113670656,0.004079000763853843,0.0,0.0,0.0,0.00032904418521101234,0.9999999864662406
1742664818976015010,1742664818,974497155,odom,1.3368693494592079,0.004081576928457686,0.0,0.0,0.0,0.00016452209260549967,0.9999999966165601
1742664819025542881,1742664819,24499755,odom,1.3446883646307721,0.004082863329207432,0.0,0.0,0.0,-4.113052315139235e-05,0.999999999788535
1742664819075602833,1742664819,74534410,odom,1.3525073799015432,0.004082541729018635,0.0,0.0,0.0,-0.0001645220926055245,0.9999999966165601
1742664819125783676,1742664819,124512602,odom,1.3603161741382426,0.004081257009838496,0.0,0.0,0.0,-0.0003290441852110375,0.9999999864662406
1742664819175782201,1742664819,174592980,odom,1.3681351889923448,0.0040786842083738225,0.0,0.0,0.0,-0.000534696800967929,0.9999999642624166
1742664819225622631,1742664819,224482633,odom,1.375954203151999,0.004074503406117501,0.0,0.0,0.0,-0.0007403494167248207,0.9999999314853434
1742664819275549692,1742664819,274453325,odom,1.3837936581509191,0.004068699469121197,0.0,0.0,0.0,-0.0009460020324817119,0.9999998881350214
1742664819325511902,1742664819,324447628,odom,1.3916126699296083,0.004061302665880043,0.0,0.0,0.0,-0.001151654648238604,0.999999834211451
1742664819375607984,1742664819,374560692,odom,1.3994316800217808,0.004052297862581719,0.0,0.0,0.0,-0.0013573072639954979,0.9999997697146328
1742664819425579731,1742664819,424485216,odom,1.4072506880967472,0.004041685059607064,0.0,0.0,0.0,-0.0016452209260551431,0.9999996616560322
1742664819475656017,1742664819,474579483,odom,1.4150799137132377,0.004028804242166279,0.0,0.0,0.0,-0.0018920040649634154,0.9999995525401106
1742664819525533873,1742664819,524454043,odom,1.4228989149958429,0.004014010642303517,0.0,0.0,0.0,-0.002097656680720308,0.9999994499796067
1742664819575472620,1742664819,574451624,odom,1.430707692158245,0.003997630484695417,0.0,0.0,0.0,-0.0023444398196285758,0.9999993129503202
1742664819625484071,1742664819,624478779,odom,1.4384960232266875,0.003979371177756624,0.0,0.0,0.0,-0.0026734840048396017,0.9999991065605425
1742664819675661303,1742664819,674661677,odom,1.4463150105608178,0.003958467190380894,0.0,0.0,0.0,-0.002961397666899247,0.9999989037656826
1742664819725699365,1742664819,724487070,odom,1.454123770662145,0.003935342278834538,0.0,0.0,0.0,-0.003290441852110272,0.9999986466243576
1742664819766104477,1742664819,764551880,odom,1.4619427436112993,0.003909614310149752,0.0,0.0,0.0,-0.0035783555141699177,0.9999983994219037
1742664819816369172,1742664819,814897873,odom,1.469690162741987,0.0038818911718546097,0.0,0.0,0.0,-0.003989660745683698,0.9999980103265516
1742664819865668984,1742664819,864459689,odom,1.4773046987171272,0.0038515115953899406,0.0,0.0,0.0,-0.004442096500348859,0.9999975334733492
1742664819916198257,1742664819,914734459,odom,1.484725024319035,0.003818549576197352,0.0,0.0,0.0,-0.004853401731862641,0.9999970555628986
1742664819965813758,1742664819,964539685,odom,1.491900036184868,0.003783726087752829,0.0,0.0,0.0,-0.00534696800967918,0.9999964262437666
