timestamp,header.stamp.sec,header.stamp.nanosec,header.frame_id,pose.position.x,pose.position.y,pose.position.z,pose.orientation.x,pose.orientation.y,pose.orientation.z,pose.orientation.w
1742667730100569359,1742667730,99350359,odom,1.5493743590452578,0.051876908305628786,0.0,0.0,0.0,-0.9562435327463678,0.8878606868921597
1742667730151250062,1742667730,149572766,odom,1.5493743590452578,0.051876908305628786,0.0,0.0,0.0,-0.9712973042197721,0.8843723559804406
1742667730200640692,1742667730,199391914,odom,1.5493801259924582,0.051868469713783845,0.0,0.0,0.0,-0.986392206216328,0.8808241857626592
1742667730250601507,1742667730,249353544,odom,1.549391403823091,0.051851420356447846,0.0,0.0,0.0,-1.0015282387360354,0.8772159673857102
1742667730301079729,1742667730,299404451,odom,1.5494024223121021,0.05183420225698067,0.0,0.0,0.0,-1.0166642712557425,0.8735575068179731
1742667730350357636,1742667730,349315988,odom,1.54941317893521,0.051816819359964655,0.0,0.0,0.0,-1.0318825648217524,0.8698287224312652
1742667730400805284,1742667730,399419877,odom,1.5494236697849249,0.051799274784688806,0.0,0.0,0.0,-1.0470185973414596,0.8660701387814116
1742667730450677451,1742667730,449435470,odom,1.5494287818363706,0.05179042411000527,0.0,0.0,0.0,-1.0621957603843182,0.8622515355961929
1742667730500595062,1742667730,499383859,odom,1.549438736115791,0.05177256963239966,0.0,0.0,0.0,-1.0773317929040254,0.8583938285222845
1742667730550520784,1742667730,549423784,odom,1.549453260471112,0.0517455649899552,0.0,0.0,0.0,-1.0925089559468837,0.8544762740123071
1742667730600552007,1742667730,599389303,odom,1.5494626690340525,0.051727417015061374,0.0,0.0,0.0,-1.107562727420288,0.850541961256597
1742667730651548377,1742667730,649338340,odom,1.549471803345799,0.05170912946743275,0.0,0.0,0.0,-1.1226987599399953,0.8465375678630431
1742667730700591284,1742667730,699338655,odom,1.549480659820886,0.05169070576263737,0.0,0.0,0.0,-1.1378347924597025,0.8424846893716627
1742667730751019544,1742667730,749295210,odom,1.549489236430338,0.05167215012145585,0.0,0.0,0.0,-1.1529708249794097,0.8383835579094367
1742667730801033858,1742667730,799383247,odom,1.5494933838198173,0.05166280845817532,0.0,0.0,0.0,-1.1681479880222683,0.8342230683003953
1742667730850477525,1742667730,849294321,odom,1.5495053992317673,0.0516345978664284,0.0,0.0,0.0,-1.183242890018824,0.8300374783852678
1742667730900742210,1742667730,899432914,odom,1.549513124713859,0.05161567203815582,0.0,0.0,0.0,-1.1983789225385313,0.8257930083416637
1742667730950409969,1742667730,949350284,odom,1.54951684378693,0.05160615174363153,0.0,0.0,0.0,-1.213473824535087,0.8215129676132691
1742667731000475895,1742667730,999352821,odom,1.5495275686276813,0.05157742570314731,0.0,0.0,0.0,-1.2285687265316427,0.8171861304287172
1742667731040439432,1742667731,39375747,odom,1.5495344286400916,0.05155816926840247,0.0,0.0,0.0,-1.2436224980050472,0.812824722869194
